"Statistic Label","Month","Main Accommodation Type","UNIT","VALUE"
"Number of Overnight Trips by Foreign Visitors","2023 June","Self catering/rented house","Thousand","34.9"
"Number of Overnight Trips by Foreign Visitors","2023 June","Other private tourism accommodation n.e.c.","Thousand","42.3"
"Number of Overnight Trips by Foreign Visitors","2023 June","All types of accommodation","Thousand","619.9"
"Number of Overnight Trips by Foreign Visitors","2023 July","Hotel/conference centre","Thousand","276.3"
"Number of Overnight Trips by Foreign Visitors","2023 July","Guest house/bed & breakfast","Thousand","26.7"
"Number of Overnight Trips by Foreign Visitors","2023 July","Friends/relatives/own property","Thousand","260.4"
"Number of Overnight Trips by Foreign Visitors","2023 July","Self catering/rented house","Thousand","41.2"
"Number of Overnight Trips by Foreign Visitors","2023 July","Other private tourism accommodation n.e.c.","Thousand","45.6"
"Number of Overnight Trips by Foreign Visitors","2023 July","All types of accommodation","Thousand","650.2"
"Number of Overnight Trips by Foreign Visitors","2023 August","Hotel/conference centre","Thousand","297"
"Number of Overnight Trips by Foreign Visitors","2023 August","Guest house/bed & breakfast","Thousand","45.7"
"Number of Overnight Trips by Foreign Visitors","2023 August","Friends/relatives/own property","Thousand","295.9"
"Number of Overnight Trips by Foreign Visitors","2023 August","Self catering/rented house","Thousand","36.6"
"Number of Overnight Trips by Foreign Visitors","2023 August","Other private tourism accommodation n.e.c.","Thousand","62.3"
"Number of Overnight Trips by Foreign Visitors","2023 August","All types of accommodation","Thousand","737.6"
"Number of Overnight Trips by Foreign Visitors","2023 September","Hotel/conference centre","Thousand","269.9"
