Month,Main Accommodation Type,Number of Overnight Trips by Foreign Visitors (Thousand),Percentage of Overnight Trips by Foreign Visitors (%),Number of Nights by Foreign Visitors (Thousand),Percentage of Nights by Foreign Visitors (%),Average Length of Stay of Foreign Visitors (Nights per trip),Year
2,All types of accommodation,433.3,100.0,2669.0,100.0,6.2,2024
3,Hotel/conference centre,258.0,49.4,1020.0,32.8,4.0,2024
3,Guest house/bed & breakfast,22.3,4.3,120.6,3.9,5.4,2024
3,Friends/relatives/own property,187.2,35.9,1328.6,42.7,7.1,2024
3,Self catering/rented house,20.3,3.9,163.2,5.2,8.1,2024
3,Other private tourism accommodation n.e.c.,34.1,6.5,477.4,15.4,14.0,2024
3,All types of accommodation,521.8,100.0,3109.8,100.0,6.0,2024
4,Hotel/conference centre,252.1,45.9,1162.8,33.3,4.6,2024
4,Guest house/bed & breakfast,24.2,4.4,144.5,4.1,6.0,2024
4,Friends/relatives/own property,215.5,39.2,1586.7,45.5,7.4,2024
4,Self catering/rented house,25.9,4.7,264.6,7.6,10.2,2024
4,Other private tourism accommodation n.e.c.,31.3,5.7,329.7,9.5,10.5,2024
4,All types of accommodation,549.1,100.0,3488.3,100.0,6.4,2024
5,Hotel/conference centre,311.9,50.1,1475.7,33.1,4.7,2024
5,Guest house/bed & breakfast,35.3,5.7,230.1,5.2,6.5,2024
5,Friends/relatives/own property,204.7,32.9,1684.4,37.7,8.2,2024
5,Self catering/rented house,28.4,4.6,370.7,8.3,13.1,2024
5,Other private tourism accommodation n.e.c.,42.1,6.8,701.1,15.7,16.7,2024
5,All types of accommodation,622.3,100.0,4462.1,100.0,7.2,2024
6,Hotel/conference centre,308.5,46.1,1600.4,32.8,5.2,2024
6,Guest house/bed & breakfast,39.8,5.9,289.7,5.9,7.3,2024
6,Friends/relatives/own property,227.1,33.9,1754.2,36.0,7.7,2024
6,Self catering/rented house,36.3,5.4,321.1,6.6,8.8,2024
6,Other private tourism accommodation n.e.c.,57.7,8.6,911.4,18.7,15.8,2024
6,All types of accommodation,669.5,100.0,4876.9,100.0,7.3,2024
7,Hotel/conference centre,268.8,41.0,1415.8,26.8,5.3,2024
7,Guest house/bed & breakfast,40.9,6.2,310.5,5.9,7.6,2024
7,Friends/relatives/own property,237.6,36.3,2272.7,42.9,9.6,2024
7,Self catering/rented house,37.3,5.7,499.9,9.4,13.4,2024
7,Other private tourism accommodation n.e.c.,70.8,10.8,793.7,15.0,11.2,2024
7,All types of accommodation,655.4,100.0,5292.5,100.0,8.1,2024
8,Hotel/conference centre,298.6,39.1,1743.9,26.2,5.8,2024
8,Guest house/bed & breakfast,62.9,8.2,559.3,8.4,8.9,2024
8,Friends/relatives/own property,290.9,38.1,2958.5,44.4,10.2,2024
8,Self catering/rented house,43.3,5.7,483.7,7.3,11.2,2024
8,Other private tourism accommodation n.e.c.,68.0,8.9,920.8,13.8,13.5,2024
8,All types of accommodation,763.6,100.0,6666.2,100.0,8.7,2024
